X	Y
0.000	182.94
0.339	186.88
0.677	193.44
1.016	200.62
1.355	208.81
1.694	215.12
2.032	220.56
2.371	226.44
2.710	232.38
3.048	235.69
3.387	241.19
3.726	250.00
4.064	257.69
4.403	272.75
4.742	294.44
5.081	315.81
5.419	336.44
5.758	370.56
6.097	407.88
6.435	447.12
6.774	498.62
7.113	565.44
7.451	640.69
7.790	743.75
8.129	889.75
8.467	1053.06
8.806	1231.25
9.145	1418.56
9.484	1596.00
9.822	1723.62
10.161	1819.25
10.500	1887.19
10.838	1950.44
11.177	2005.44
11.516	2036.94
11.854	2065.25
12.193	2090.12
12.532	2112.25
12.871	2126.88
13.209	2141.25
13.548	2163.00
13.887	2178.69
14.225	2185.12
14.564	2185.75
14.903	2191.62
15.241	2194.94
15.580	2196.62
15.919	2192.44
16.258	2186.19
16.596	2177.56
16.935	2168.62
17.274	2157.19
17.612	2147.06
17.951	2138.62
18.290	2137.81
18.628	2149.88
18.967	2165.56
19.306	2178.94
19.645	2191.94
19.983	2200.19
20.322	2202.81
20.661	2191.69
20.999	2178.00
21.338	2163.56
21.677	2156.94
22.015	2155.38
22.354	2142.75
22.693	2130.62
23.032	2116.50
23.370	2099.12
23.709	2087.25
24.048	2081.06
24.386	2061.50
24.725	2027.94
25.064	1981.88
25.403	1942.75
25.741	1873.75
26.080	1808.62
26.419	1718.75
26.757	1599.75
27.096	1462.38
27.435	1318.62
27.773	1153.00
28.112	1000.19
28.451	863.81
28.789	746.06
29.128	654.88
29.467	590.25
29.806	544.38
30.144	496.88
30.483	466.12
30.822	432.00
31.160	407.19
31.499	382.75
31.838	367.25
32.176	359.81
32.515	343.88
32.854	329.81
33.193	317.25
33.531	309.88
33.870	300.44
34.209	290.88
34.547	287.06
34.886	284.62
35.225	283.25
35.563	282.69
35.902	284.00
36.241	283.62
36.580	282.62
36.918	280.69
37.257	276.31
37.596	271.25
37.934	267.75
38.273	268.38
38.612	268.94
38.951	268.50
39.289	270.00
39.628	273.06
39.967	280.00
40.305	283.38
40.644	284.75
40.983	282.75
41.321	280.94
41.660	281.31
41.999	285.31
42.338	289.25
42.676	295.38
43.015	296.88
43.354	304.00
43.692	310.62
44.031	317.62
44.370	327.81
44.708	343.81
45.047	360.94
45.386	387.00
45.724	403.75
46.063	432.50
46.402	464.44
